Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4999,Trigger Address,4999,
Trigger Level,0.000E+00,Trigger Level,0.000E+00,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label, ,Label, ,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Scale,5.000E+00,Vertical Scale,5.000E+00,
Vertical Position,0.000E+00,Vertical Position,0.000E+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-02,Horizontal Scale,5.000E-02,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,5.000E-05,Sampling Period,5.000E-05,
Horizontal Old Scale,5.000E-02,Horizontal Old Scale,5.000E-02,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.23,Firmware,V1.23,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-2.500000e-01,-0.600000,-2.500000e-01,-10.000000,
-2.499500e-01,-0.600000,-2.499500e-01,-10.200000,
-2.499000e-01,-0.600000,-2.499000e-01,-10.000000,
-2.498500e-01,-0.600000,-2.498500e-01,-10.200000,
-2.498000e-01,-0.600000,-2.498000e-01,-10.200000,
-2.497500e-01,-0.600000,-2.497500e-01,-10.200000,
-2.497000e-01,-0.600000,-2.497000e-01,-10.000000,
-2.496500e-01,-0.600000,-2.496500e-01,-10.200000,
-2.496000e-01,-0.600000,-2.496000e-01,-10.200000,
-2.495500e-01,-0.600000,-2.495500e-01,-10.200000,
-2.495000e-01,-0.600000,-2.495000e-01,-10.000000,
-2.494500e-01,-0.600000,-2.494500e-01,-10.200000,
-2.494000e-01,-0.600000,-2.494000e-01,-10.200000,
-2.493500e-01,-0.600000,-2.493500e-01,-10.200000,
-2.493000e-01,-0.600000,-2.493000e-01,-10.000000,
-2.492500e-01,-0.600000,-2.492500e-01,-10.000000,
-2.492000e-01,-0.600000,-2.492000e-01,-10.000000,
-2.491500e-01,-0.600000,-2.491500e-01,-10.000000,
-2.491000e-01,-0.800000,-2.491000e-01,-10.000000,
-2.490500e-01,-0.800000,-2.490500e-01,-10.000000,
-2.490000e-01,-0.800000,-2.490000e-01,-10.000000,
-2.489500e-01,-0.800000,-2.489500e-01,-10.000000,
-2.489000e-01,-0.800000,-2.489000e-01,-10.000000,
-2.488500e-01,-0.800000,-2.488500e-01,-10.200000,
-2.488000e-01,-0.800000,-2.488000e-01,-10.200000,
-2.487500e-01,-0.800000,-2.487500e-01,-10.000000,
-2.487000e-01,-0.800000,-2.487000e-01,-10.200000,
-2.486500e-01,-0.800000,-2.486500e-01,-10.200000,
-2.486000e-01,-0.800000,-2.486000e-01,-10.200000,
-2.485500e-01,-0.800000,-2.485500e-01,-10.000000,
-2.485000e-01,-0.800000,-2.485000e-01,-10.000000,
-2.484500e-01,-0.800000,-2.484500e-01,-10.200000,
-2.484000e-01,-0.800000,-2.484000e-01,-10.200000,
-2.483500e-01,-0.800000,-2.483500e-01,-10.000000,
-2.483000e-01,-0.800000,-2.483000e-01,-10.000000,
-2.482500e-01,-0.800000,-2.482500e-01,-10.000000,
-2.482000e-01,-0.800000,-2.482000e-01,-10.000000,
-2.481500e-01,-0.800000,-2.481500e-01,-10.000000,
-2.481000e-01,-0.800000,-2.481000e-01,-10.000000,
-2.480500e-01,-0.800000,-2.480500e-01,-10.000000,
-2.480000e-01,-0.800000,-2.480000e-01,-10.200000,
-2.479500e-01,-0.800000,-2.479500e-01,-10.200000,
-2.479000e-01,-1.000000,-2.479000e-01,-10.000000,
-2.478500e-01,-1.000000,-2.478500e-01,-10.200000,
-2.478000e-01,-1.000000,-2.478000e-01,-10.000000,
-2.477500e-01,-1.000000,-2.477500e-01,-10.200000,
-2.477000e-01,-1.000000,-2.477000e-01,-10.000000,
-2.476500e-01,-1.000000,-2.476500e-01,-10.000000,
-2.476000e-01,-1.000000,-2.476000e-01,-10.200000,
-2.475500e-01,-1.000000,-2.475500e-01,-10.200000,
-2.475000e-01,-1.000000,-2.475000e-01,-10.000000,
-2.474500e-01,-1.000000,-2.474500e-01,-10.000000,
-2.474000e-01,-1.000000,-2.474000e-01,-10.000000,
-2.473500e-01,-1.000000,-2.473500e-01,-10.000000,
-2.473000e-01,-1.000000,-2.473000e-01,-10.200000,
-2.472500e-01,-1.000000,-2.472500e-01,-10.000000,
-2.472000e-01,-1.000000,-2.472000e-01,-10.000000,
-2.471500e-01,-1.000000,-2.471500e-01,-10.000000,
-2.471000e-01,-1.000000,-2.471000e-01,-10.200000,
-2.470500e-01,-1.000000,-2.470500e-01,-10.200000,
-2.470000e-01,-1.000000,-2.470000e-01,-10.200000,
-2.469500e-01,-1.000000,-2.469500e-01,-10.000000,
-2.469000e-01,-1.000000,-2.469000e-01,-10.200000,
-2.468500e-01,-1.000000,-2.468500e-01,-10.200000,
-2.468000e-01,-1.400000,-2.468000e-01,-10.200000,
-2.467500e-01,-1.000000,-2.467500e-01,-10.000000,
-2.467000e-01,-1.400000,-2.467000e-01,-10.000000,
-2.466500e-01,-1.400000,-2.466500e-01,-10.000000,
-2.466000e-01,-1.400000,-2.466000e-01,-10.200000,
-2.465500e-01,-1.400000,-2.465500e-01,-10.200000,
-2.465000e-01,-1.400000,-2.465000e-01,-10.000000,
-2.464500e-01,-1.400000,-2.464500e-01,-10.000000,
-2.464000e-01,-1.400000,-2.464000e-01,-10.000000,
-2.463500e-01,-1.400000,-2.463500e-01,-10.000000,
-2.463000e-01,-1.400000,-2.463000e-01,-10.200000,
-2.462500e-01,-1.400000,-2.462500e-01,-10.000000,
-2.462000e-01,-1.400000,-2.462000e-01,-10.200000,
-2.461500e-01,-1.400000,-2.461500e-01,-10.200000,
-2.461000e-01,-1.400000,-2.461000e-01,-10.000000,
